"","ORF","AVGEXP_stressed","SD_stressed","CV_stressed","AVGEXP_unstressed","SD_unstressed","CV_unstressed","DM_stressed","FF_stressed","DM_unstressed","FF_unstressed"
"140","YAL019W",42.445625,95.1105612451315,2.24076241650657,40.0248192771084,136.006102242594,3.39804413109195,0.0883036316491884,213.120171050937,0.357312779304481,462.15473751814
"141","YAL019W-A",0.525,4.47206519279489,NA,0.0250602409638554,0.160451903696844,NA,NA,38.0940325497287,NA,1.02731707317073
"142","YAL020C",26.95975,113.314462582304,4.20309767643633,12.4475903614458,28.4135808128901,2.2826571238154,0.536512251877547,476.271754386315,-0.254174849767445,64.8584626556482
"143","YAL021C",81.96975,207.730157412618,2.53422948603134,70.7026506024096,204.894429575178,2.89797380762122,0.374500998062646,526.435890052988,0.412856903769622,593.778690236355
"144","YAL022C",40.621625,93.6362316200812,2.30508335449606,49.6726506024096,110.413291596534,2.22281859851421,0.0518366886590008,215.839318885187,0.0610000399232815,245.428718083949
"145","YAL023C",97.6665,142.823628838801,1.46236046995439,236.731084337349,290.064548636401,1.22529134460031,-0.0775071210394633,208.859628989301,0.200285198242434,355.413580819579
"146","YAL024C",20.233125,65.8975745427485,3.25691530807764,52.6061445783132,143.855041874657,2.73456728349488,0.152406328536616,214.622819293465,0.298484912215076,393.381291076223
"147","YAL025C",5.07325,19.1810159823176,3.78081426744545,48.4034939759036,97.3402823695802,2.011017684344,0.0441434393817846,72.5198588900456,-0.0608726433979001,195.753029244264
"148","YAL026C",61.292875,155.425055171855,2.53577687735899,76.8804819277108,162.032258771801,2.10758640826623,0.282872253760957,394.123261067034,0.166631540758943,341.496986288123
"149","YAL026C-A",0.1375,0.381328457376398,2.77329787182835,0.225542168674699,0.670626305398767,2.97339654637274,-0.369045633988293,1.05753739930955,-0.276024936485913,1.99403794037941
"150","YAL027W",17.15375,42.6077869621285,2.4838759432852,9.66915662650602,26.2764324621624,2.71755164148763,-0.0718353578482238,105.832457031852,-0.16988989254576,71.4075621699884
"151","YAL028W",55.153875,153.849446986198,2.78945852827562,12.9839759036145,47.2821158872982,3.64157452526817,0.330565680852807,429.156651966137,0.166877960002461,172.181348715963
"152","YAL029C",74.60925,165.164432671455,2.21372594780748,80.767469879518,142.340405485457,1.76234820402061,0.203665519778111,365.6287902597,0,250.85335796686
"153","YAL030W",62.853375,64.0328097257693,1.01876485909896,47.1114457831325,66.3037917492148,1.4073818081158,-0.503622272682839,65.2343763779842,-0.349888975664968,93.3147503169437
"154","YAL031C",40.478625,92.8664696032235,2.29421008256144,31.7172289156627,102.450072472129,3.23010792476694,0.0411346852950851,213.055190895601,0.282096075795825,330.924790985172
"155","YAL031W-A",0.48025,1.35135279149769,2.81385276730389,0.0751807228915663,0.423015773925412,NA,-0.336172180748485,3.80250779195962,NA,2.38016260162602
"156","YAL032C",26.299625,50.8122442994173,1.93205204634733,13.9610843373494,50.1274348721202,3.5905115720859,-0.229159731196853,98.1719005781896,0.179630912407523,179.98313498733
"157","YAL033W",8.682875,25.0077375465948,2.88012179682361,20.7833734939759,48.6153784832137,2.33914761226347,-0.0740286758661304,72.0253299971917,-0.165198074141664,113.718546498294
"158","YAL034C",213.13175,222.095323631942,1.04205649149853,32.4569879518072,127.083078048113,3.91543042246583,-0.00660203627519561,231.435873722133,0.42606881177133,497.58494997018
"159","YAL034C-B",0.3625,2.58154967687575,7.12151635000206,0.263132530120482,0.686088111583137,2.60738613834251,0.415726977911979,18.3845482322131,-0.423598730030476,1.78889663182346
