"","ORF","AVGEXP_glu6hr","SD_glu6hr","CV_glu6hr","AVGEXP_glu12hr","SD_glu12hr","CV_glu12hr","AVGEXP_lag1hr","SD_lag1hr","CV_lag1hr","AVGEXP_lag3hr","SD_lag3hr","CV_lag3hr","AVGEXP_glumal","SD_glumal","CV_glumal","DM_glu6hr","FF_glu6hr","DM_glu12hr","FF_glu12hr","DM_lag1hr","FF_lag1hr","DM_lag3hr","FF_lag3hr","DM_glumal","FF_glumal"
"20","YDL231C",0.0991150442477876,0.314307274666256,NA,0.0693430656934307,0.278170682807855,NA,0.0597269624573379,0.247651846178149,NA,0.0619469026548673,0.241141178614185,NA,0.0641399416909621,0.256813268427254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","YDL230W",0.0949852507374631,0.305119032099399,NA,0.0474452554744526,0.221107314417419,NA,0.0349829351535836,0.197260701884232,NA,0.0653505786249149,0.260640513249853,NA,0.053935860058309,0.238622485886334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","YDL229W",17.3705014749263,12.4924375015713,NA,15.1350364963504,11.8133897639738,NA,2.85494880546075,3.2903011079246,NA,0.10074880871341,0.345355695001204,NA,10.3673469387755,9.12535799289189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","YDL228C",0.0448377581120944,0.218117320531022,NA,0.0291970802919708,0.168435436543815,NA,0.0068259385665529,0.0823719278221693,NA,0.00068073519400953,0.0260909025142776,NA,0.0349854227405248,0.183876941768675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","YDL227C",0.621238938053097,2.97776444816483,NA,0.668795620437956,2.75528099159884,NA,0.0179180887372014,0.138996403250527,NA,0.00816882232811436,0.0900422778842361,NA,0.316326530612245,1.73683038049038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","YDL226C",0.400589970501475,0.670247892443946,NA,0.302007299270073,0.625949933036288,NA,0.0998293515358362,0.329738614839699,NA,0.11572498298162,0.34853405817683,NA,0.313411078717201,0.591443388552516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","YDL225W",0.285545722713864,0.536614441805085,NA,0.203467153284672,0.47168872254369,NA,0.068259385665529,0.27497263142556,NA,0.0803267528931246,0.284142003056504,NA,0.21865889212828,0.499928704669905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","YDL224C",0.144542772861357,0.383843592587941,NA,0.10036496350365,0.315446851299971,NA,0.0895904436860068,0.311456460424838,NA,0.10211027910143,0.344955332312355,NA,0.102040816326531,0.307704339220934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","YDL223C",0.0106194690265487,0.108136653121143,NA,0.00456204379562044,0.0674194244669425,NA,0.0187713310580205,0.141924766627756,NA,0.15997277059224,0.447066123911288,NA,0.0306122448979592,0.281697520795104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","YDL222C",0.0023598820058997,0.0485355823901949,NA,0.00456204379562044,0.0674194244669423,NA,0.194539249146758,0.514225517815004,NA,0.223281143635126,0.631142181224459,NA,0.0102040816326531,0.100571878850067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
