"ORF","AVGEXP_DMSO","SD_DMSO","CV_DMSO","DM_DMSO","FF_DMSO","AVGEXP_gua","SD_gua","CV_gua","DM_gua","FF_gua","AVGEXP_MPA","SD_MPA","CV_MPA","DM_MPA","FF_MPA","AVGEXP_guaMPA","SD_guaMPA","CV_guaMPA","DM_guaMPA","FF_guaMPA"
"YAL033W",0.0815450643776824,0.317931377984307,3.89884268791282,0.00912634325342587,1.23956442831216,0.062015503875969,0.257250895246252,4.14817068584581,-0.0329885440907645,1.06712062256809,0.141176470588235,0.38275135458908,2.71115542833932,-0.049040535678886,1.03769841269841,0,0,NA,NA,NA
"YAL035W",3.18884120171674,2.78054431157641,0.871960732970797,0.0782192962182026,2.42452545597994,1.03100775193798,1.48370125311667,1.43907865903798,0.1431340415658,2.13516280974811,5.84705882352941,4.10431214106097,0.701944732374613,0.0570429721023968,2.88100028743892,2.54850746268657,2.44977213874664,0.961257588849341,0.00859159014739954,2.35486205932189
"YAL036C",0.472103004291845,0.83063298860458,1.75943169404425,0.0622147915409357,1.46144200626959,0.236434108527132,0.49344938272004,2.08704820888148,-0.0548791213859098,1.02985265037953,0.505882352941176,0.765685646857717,1.51356465076525,-0.0206716545224978,1.15891472868217,0.298507462686567,0.561296662883652,1.88034382066023,-0.100898616292447,1.05543071161049
"YAL037C-A",0.729613733905579,1.02125190506734,1.399715846357,0.0149553273926623,1.42946247464503,0.352713178294574,0.745683038346586,2.11413432849911,0.096641385569651,1.57647410954804,0.188235294117647,0.475447599813131,2.52581537400726,0.00883128293146862,1.20089285714286,0.552238805970149,0.866065745392569,1.56828121462979,-0.0238361856124754,1.35823463913351
"YAL037C-B",0.0643776824034335,0.262894488176477,4.08362771634127,-0.0355402741023607,1.07356321839081,0.0465116279069767,0.228698401848886,4.91701563975105,-0.0451037375861814,1.12451361867704,0,0,NA,NA,NA,0.041044776119403,0.216790579340895,5.28180684212362,-0.0496559520023445,1.14504596527068
"YAL039C",0.240343347639485,0.527440029816221,2.19452726691392,-0.00205941441312429,1.15748152709359,0.155038759689922,0.44894363521148,2.89568644711405,0.0633492748392603,1.3,0.294117647058824,0.530577614531575,1.80396388940735,-0.0979443672226983,0.957142857142856,0.302238805970149,0.671848745452138,2.22290696026139,0.0508890513494883,1.49345725250844
"YAL042W",0.274678111587983,0.526948767623446,1.91842285712911,-0.0736842454268927,1.01091056034483,0.201550387596899,0.504915063338993,2.50515550656654,0.0417113805988907,1.26489075127207,0.247058823529412,0.554331050154387,2.24372091729157,0.0411794502296301,1.2437641723356,0.238805970149254,0.476867187245401,1.99688134659012,-0.123117915943961,0.952247191011238
"YAL044C",0.351931330472103,0.679571463920107,1.93097745235835,0.0429541093765071,1.31223717409588,0.441860465116279,0.768109273437471,1.73835256620059,0.0162509632162138,1.3352447266025,0.188235294117647,0.449712014914593,2.38909507923378,-0.0395050542209622,1.07440476190476,0.365671641791045,0.68193429204613,1.86488153335064,-0.0186635333262479,1.27172666819537
"YAL044W-A",0.0772532188841202,0.298049999132911,3.85809165544268,-6.66133814775094e-16,1.14990421455938,0.0697674418604651,0.284106806014534,4.07219755287499,-6.66133814775094e-16,1.15693904020752,0,0,NA,NA,NA,0,0,NA,NA,NA
"YAL046C",0.124463519313305,0.367837095806493,2.95538080423837,-0.0199015207310856,1.0870986920333,0.131782945736434,0.371762967059512,2.82102486768689,-0.0237902767910337,1.04875257495995,0,0,NA,NA,NA,0.119402985074627,0.368106321544596,3.08289044293599,-0.0182959355459805,1.13483146067416
"YAL053W",0.0858369098712446,0.309916992519737,3.61053296285494,-2.22044604925031e-16,1.11896551724138,0,0,NA,NA,NA,0.0588235294117647,0.282545452579066,4.80327269384412,0,1.35714285714286,0.0634328358208955,0.299322842448424,4.71873657506927,0.0794658560258241,1.41242564441507
"YAL055W",0.0815450643776824,0.289549618885357,3.55079269475201,-0.0720944462286908,1.02813067150636,0.0775193798449612,0.282082392709394,3.63886286595118,-0.0405237663147635,1.02645914396887,0,0,NA,NA,NA,0.100746268656716,0.442498231005451,4.39220466331337,0.237180608909619,1.94354279373006
"YAL060W",0.300429184549356,0.612266694065448,2.03797342453214,0.0307071247969657,1.24778325123153,0.236434108527132,0.619330375743403,2.61946290068521,0.14511149535514,1.62231294252728,0,0,NA,NA,NA,0.421641791044776,0.833193570928438,1.97606970804267,0.10299518270067,1.64644857644759
"YAL061W",0.111587982832618,0.38895700745464,3.48565318218966,0.0591681164114293,1.35576923076923,0.13953488372093,0.43654437237326,3.12856800200836,0.0828675554259116,1.3657587548638,0,0,NA,NA,NA,0.287313432835821,0.710743835898927,2.47375776650536,0.135542173615711,1.75820808405078
"YAL063C",0.0257510729613734,0.183893400087731,7.1411937034069,-1.55431223447522e-15,1.31321839080459,0,0,NA,NA,NA,0,0,NA,NA,NA,0.104477611940299,0.382553155914174,3.6615802066071,0.0791525750139874,1.40074906367042
"YAL067C",0.0171673819742489,0.159893963679476,NA,NA,NA,0,0,NA,NA,NA,0.0470588235294118,0.263035501539295,NA,NA,NA,0.0895522388059701,0.366432064556371,4.09182472087948,0.0857476978061076,1.49937578027466
"YAR002C-A",0.145922746781116,0.3995613252392,2.73817025825687,-0.0174948133046376,1.09406693711968,0.0891472868217054,0.335625395698458,3.76484139522618,0.0645789503097571,1.26357638301472,0.247058823529412,0.485648372525529,1.96571960307952,-0.0737150858454308,0.954648526077097,0.17910447761194,0.447226095006523,2.49701236378642,-0.0159676313154705,1.11672908863921
"YAR007C",0.0386266094420601,0.251310020408759,6.50613719502676,0.0756985663565739,1.63505747126436,0,0,NA,NA,NA,0,0,NA,NA,NA,0.0522388059701493,0.254315978490191,4.86833444538366,0.0154504649141816,1.23809523809525
"YAR014C",0.0944206008583691,0.321115692312968,3.40090710495098,-8.88178419700125e-16,1.09208463949843,0,0,NA,NA,NA,0,0,NA,NA,NA,0.0858208955223881,0.318153140774947,3.70717572729069,-8.88178419700125e-16,1.17944960104218
